epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,873.792,0.70587,0.74806,0.91229,0.99721,1,0.995,0.82354,0.67172,0.78173,0.94655,0.0005644,0.0005644,0.0005644
46,892.821,0.74971,0.72445,0.93798,0.99701,1,0.995,0.79672,0.72025,0.81047,0.9666,0.0005545,0.0005545,0.0005545
47,911.762,0.75643,0.89704,1.02799,0.99713,1,0.995,0.78202,0.76527,0.7945,0.97528,0.0005446,0.0005446,0.0005446
48,930.718,0.56458,0.6497,0.89748,0.99732,1,0.995,0.81512,0.73976,0.76247,0.96258,0.0005347,0.0005347,0.0005347
49,949.691,0.54743,1.17082,0.75917,0.99725,1,0.995,0.80954,0.70722,0.73714,0.95564,0.0005248,0.0005248,0.0005248
50,969.428,0.75497,0.68939,0.95109,0.99731,1,0.995,0.82215,0.67397,0.72964,0.94957,0.0005149,0.0005149,0.0005149
51,988.374,0.67197,0.68306,0.95687,0.99704,1,0.995,0.83471,0.66404,0.73629,0.9476,0.000505,0.000505,0.000505
52,1007.37,0.57939,1.15073,0.79548,0.9972,1,0.995,0.81122,0.72857,0.74177,0.95959,0.0004951,0.0004951,0.0004951
53,1026.46,0.63412,0.66517,0.91278,0.99739,1,0.995,0.81328,0.72572,0.71989,0.95861,0.0004852,0.0004852,0.0004852
54,1045.41,0.55907,0.66095,0.90961,0.99726,1,0.995,0.80396,0.73495,0.71036,0.97517,0.0004753,0.0004753,0.0004753
55,1064.56,0.6038,0.65304,0.93554,0.99731,1,0.995,0.79212,0.73303,0.709,0.96989,0.0004654,0.0004654,0.0004654
56,1083.72,0.59481,0.60609,0.90752,0.99728,1,0.995,0.80764,0.7372,0.70926,0.96824,0.0004555,0.0004555,0.0004555
57,1102.75,0.64468,0.58976,0.9193,0.99728,1,0.995,0.81304,0.74463,0.71005,0.96809,0.0004456,0.0004456,0.0004456
58,1121.83,0.64468,0.65068,0.97845,0.99745,1,0.995,0.80481,0.72143,0.68508,0.95667,0.0004357,0.0004357,0.0004357
59,1142.53,0.57525,0.56069,0.89748,0.99746,1,0.995,0.8059,0.71338,0.66685,0.95263,0.0004258,0.0004258,0.0004258
60,1163.05,0.65347,0.60795,0.90566,0.99752,1,0.995,0.80551,0.75207,0.70455,0.95697,0.0004159,0.0004159,0.0004159
61,1183.41,0.58983,0.60337,0.92746,0.99733,1,0.995,0.81249,0.76388,0.70285,0.9623,0.000406,0.000406,0.000406
62,1203.99,0.50748,1.02701,0.76376,0.99724,1,0.995,0.82207,0.74647,0.67846,0.96009,0.0003961,0.0003961,0.0003961
63,1224.52,0.64158,0.67097,0.96604,0.99732,1,0.995,0.80149,0.77541,0.68196,0.96803,0.0003862,0.0003862,0.0003862
64,1244.01,0.73349,0.66244,0.93893,0.99738,1,0.995,0.79263,0.80827,0.67574,0.98112,0.0003763,0.0003763,0.0003763
65,1264.55,0.56706,0.64782,0.92226,0.99737,1,0.995,0.79311,0.78161,0.66329,0.97293,0.0003664,0.0003664,0.0003664
66,1284.78,0.55647,0.57184,0.90491,0.99736,1,0.995,0.79578,0.69895,0.64795,0.96175,0.0003565,0.0003565,0.0003565
67,1305.04,0.66245,0.61506,0.93216,0.9974,1,0.995,0.82219,0.69201,0.64258,0.95857,0.0003466,0.0003466,0.0003466
68,1325.12,0.52948,0.67063,0.85645,0.99736,1,0.995,0.82184,0.68722,0.61357,0.95808,0.0003367,0.0003367,0.0003367
69,1345.48,0.50697,0.98627,0.76211,0.99739,1,0.995,0.81433,0.68793,0.60832,0.9573,0.0003268,0.0003268,0.0003268
70,1364.91,0.57418,0.55236,0.92185,0.99723,1,0.995,0.81254,0.73284,0.6415,0.96538,0.0003169,0.0003169,0.0003169
71,1384.78,0.56806,0.57028,0.84425,0.99726,1,0.995,0.77788,0.76514,0.6395,0.97735,0.000307,0.000307,0.000307
72,1405.13,0.49144,0.54804,0.91421,0.99728,1,0.995,0.77192,0.78225,0.63929,1.00127,0.0002971,0.0002971,0.0002971
73,1425.52,0.42987,1.10621,0.73785,0.99734,1,0.995,0.78008,0.75004,0.62561,0.99571,0.0002872,0.0002872,0.0002872
74,1444.68,0.53788,0.54203,0.88191,0.99736,1,0.995,0.80533,0.71371,0.61411,0.97976,0.0002773,0.0002773,0.0002773
75,1464.02,0.61844,0.55747,0.90583,0.99733,1,0.995,0.7978,0.72649,0.61669,0.98516,0.0002674,0.0002674,0.0002674
76,1483.55,0.41897,0.50513,0.78612,0.99729,1,0.995,0.77495,0.76107,0.63826,1.00893,0.0002575,0.0002575,0.0002575
77,1503.3,0.57829,0.53511,0.89244,0.99731,1,0.995,0.77913,0.75953,0.63588,1.00227,0.0002476,0.0002476,0.0002476
78,1524.31,0.59751,0.58782,0.92361,0.99732,1,0.995,0.7753,0.80924,0.62221,1.00476,0.0002377,0.0002377,0.0002377
79,1545.49,0.54256,0.51225,0.89252,0.99733,1,0.995,0.78301,0.80819,0.61748,1.0034,0.0002278,0.0002278,0.0002278
80,1567.01,0.5289,0.52642,0.8705,0.99724,1,0.995,0.79067,0.77947,0.61425,0.98967,0.0002179,0.0002179,0.0002179
81,1588.14,0.50758,0.52436,0.87292,0.99729,1,0.995,0.78728,0.76877,0.60774,0.98376,0.000208,0.000208,0.000208
82,1609.23,0.58749,0.52873,0.87113,0.99731,1,0.995,0.78237,0.80242,0.60789,0.99667,0.0001981,0.0001981,0.0001981
83,1630.21,0.5657,0.51418,0.89787,0.99735,1,0.995,0.78634,0.80195,0.60134,1.00098,0.0001882,0.0001882,0.0001882
84,1651.75,0.50285,0.50801,0.89547,0.99737,1,0.995,0.80202,0.72719,0.58034,0.98158,0.0001783,0.0001783,0.0001783
85,1672.26,0.47147,0.50838,0.86198,0.99741,1,0.995,0.82486,0.69446,0.57003,0.9648,0.0001684,0.0001684,0.0001684
86,1693.1,0.52318,0.47815,0.90698,0.99739,1,0.995,0.82273,0.68209,0.55681,0.9488,0.0001585,0.0001585,0.0001585
87,1712.72,0.40856,0.83244,0.73535,0.99743,1,0.995,0.81914,0.68881,0.55996,0.94809,0.0001486,0.0001486,0.0001486
