epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,104.641,0.62239,0.7839,0.91759,0.99838,1,0.995,0.82317,0.68365,0.87259,0.91296,0.0005743,0.0005743,0.0005743
45,106.986,0.72877,0.85939,0.95976,0.99839,1,0.995,0.79874,0.78133,0.87429,0.94956,0.0005644,0.0005644,0.0005644
46,109.319,0.71359,0.80195,0.92366,0.99829,1,0.995,0.79293,0.79365,0.87619,0.9538,0.0005545,0.0005545,0.0005545
47,111.768,0.72062,0.76186,0.92115,0.99821,1,0.995,0.79306,0.75091,0.86822,0.94217,0.0005446,0.0005446,0.0005446
48,114.038,0.68538,0.77125,0.96484,0.99839,1,0.995,0.82008,0.73079,0.86654,0.93828,0.0005347,0.0005347,0.0005347
49,116.364,0.73,0.82539,0.99843,0.99858,1,0.995,0.79333,0.76288,0.87199,0.95095,0.0005248,0.0005248,0.0005248
50,118.638,0.6271,0.77852,0.96547,0.99852,1,0.995,0.80329,0.7591,0.86968,0.94762,0.0005149,0.0005149,0.0005149
51,120.978,0.56537,1.22624,0.84341,0.99851,1,0.995,0.82295,0.69691,0.81517,0.93034,0.000505,0.000505,0.000505
52,123.297,0.62932,0.77379,0.94662,0.99852,1,0.995,0.83759,0.671,0.82508,0.91911,0.0004951,0.0004951,0.0004951
53,125.586,0.63034,0.75132,0.92633,0.99851,1,0.995,0.83982,0.65889,0.81054,0.90738,0.0004852,0.0004852,0.0004852
54,127.939,0.69178,0.71599,0.94314,0.99851,1,0.995,0.82347,0.67064,0.79958,0.91162,0.0004753,0.0004753,0.0004753
55,130.211,0.66665,0.73238,0.93767,0.99857,1,0.995,0.81332,0.69248,0.80506,0.93047,0.0004654,0.0004654,0.0004654
56,132.537,0.60932,0.72596,0.90695,0.99852,1,0.995,0.83802,0.70671,0.81402,0.92979,0.0004555,0.0004555,0.0004555
57,134.795,0.66163,0.73763,0.90744,0.99855,1,0.995,0.81717,0.73545,0.8317,0.94476,0.0004456,0.0004456,0.0004456
58,137.188,0.57429,0.68989,0.91512,0.99845,1,0.995,0.80794,0.73564,0.8243,0.95092,0.0004357,0.0004357,0.0004357
59,139.546,0.61757,0.70058,0.91988,0.99838,1,0.995,0.80781,0.69375,0.77948,0.95606,0.0004258,0.0004258,0.0004258
60,141.847,0.56095,0.73003,0.92974,0.99845,1,0.995,0.81993,0.68619,0.76799,0.9445,0.0004159,0.0004159,0.0004159
61,144.166,0.6312,0.7168,0.96051,0.99846,1,0.995,0.81239,0.72003,0.77543,0.95051,0.000406,0.000406,0.000406
62,146.491,0.59226,0.66576,0.88866,0.99844,1,0.995,0.80506,0.75135,0.78198,0.9524,0.0003961,0.0003961,0.0003961
63,148.838,0.68685,0.70024,0.96492,0.99847,1,0.995,0.81179,0.75124,0.78832,0.95168,0.0003862,0.0003862,0.0003862
64,151.147,0.59684,0.71727,0.89248,0.99855,1,0.995,0.81669,0.73612,0.78725,0.94839,0.0003763,0.0003763,0.0003763
65,153.466,0.64398,0.68991,0.99493,0.99855,1,0.995,0.80743,0.73486,0.77677,0.94802,0.0003664,0.0003664,0.0003664
66,155.836,0.61128,0.70446,0.93309,0.9985,1,0.995,0.79994,0.74791,0.76934,0.95352,0.0003565,0.0003565,0.0003565
67,158.202,0.60554,0.73854,0.9596,0.99848,1,0.995,0.81882,0.73635,0.74513,0.94779,0.0003466,0.0003466,0.0003466
68,160.477,0.54442,0.67742,0.8856,0.99846,1,0.995,0.8181,0.72412,0.73967,0.94243,0.0003367,0.0003367,0.0003367
69,162.748,0.57723,0.62864,0.89028,0.99849,1,0.995,0.83219,0.70834,0.7434,0.93922,0.0003268,0.0003268,0.0003268
70,165.097,0.61812,0.68597,0.92517,0.99843,1,0.995,0.83483,0.69048,0.74023,0.93632,0.0003169,0.0003169,0.0003169
71,167.396,0.71146,0.74836,0.9939,0.99843,1,0.995,0.83712,0.692,0.74419,0.9426,0.000307,0.000307,0.000307
72,169.743,0.69946,0.67116,1.02725,0.99845,1,0.995,0.83221,0.69691,0.74053,0.94635,0.0002971,0.0002971,0.0002971
73,172.053,0.64541,0.64453,0.91639,0.9984,1,0.995,0.82541,0.70986,0.73905,0.94636,0.0002872,0.0002872,0.0002872
74,174.381,0.57973,0.62417,0.89903,0.99848,1,0.995,0.82501,0.70727,0.73074,0.9433,0.0002773,0.0002773,0.0002773
75,176.701,0.48961,0.60402,0.8426,0.99849,1,0.995,0.81041,0.72231,0.72183,0.95628,0.0002674,0.0002674,0.0002674
76,179.124,0.58515,0.62753,0.90833,0.99848,1,0.995,0.81064,0.72758,0.72072,0.9552,0.0002575,0.0002575,0.0002575
77,181.443,0.53927,0.79689,0.94638,0.99846,1,0.995,0.80485,0.73952,0.71952,0.95052,0.0002476,0.0002476,0.0002476
78,183.732,0.50839,0.64238,0.88149,0.99844,1,0.995,0.80734,0.74607,0.7228,0.94837,0.0002377,0.0002377,0.0002377
79,186.12,0.57051,0.67127,0.85282,0.99842,1,0.995,0.81581,0.75679,0.73564,0.95463,0.0002278,0.0002278,0.0002278
80,188.432,0.51591,0.60908,0.87495,0.99841,1,0.995,0.80306,0.76851,0.73602,0.96242,0.0002179,0.0002179,0.0002179
81,190.734,0.51297,0.64009,0.88487,0.99848,1,0.995,0.80695,0.75364,0.72788,0.96083,0.000208,0.000208,0.000208
82,193.076,0.52718,0.60301,0.89195,0.99845,1,0.995,0.80919,0.71977,0.71933,0.94804,0.0001981,0.0001981,0.0001981
83,195.443,0.55191,0.66932,0.91361,0.9986,1,0.995,0.82671,0.6769,0.70724,0.92524,0.0001882,0.0001882,0.0001882
84,197.732,0.60787,0.62305,0.97167,0.99861,1,0.995,0.82559,0.68387,0.70475,0.9246,0.0001783,0.0001783,0.0001783
85,200.094,0.52185,0.62702,0.87414,0.9986,1,0.995,0.82212,0.69807,0.70833,0.93099,0.0001684,0.0001684,0.0001684
86,202.478,0.59481,0.67302,0.89486,0.9986,1,0.995,0.82201,0.73099,0.71297,0.94601,0.0001585,0.0001585,0.0001585
87,204.756,0.55684,0.63354,0.93052,0.99863,1,0.995,0.80957,0.75532,0.71013,0.95747,0.0001486,0.0001486,0.0001486
88,207.118,0.50598,0.58899,0.88111,0.99863,1,0.995,0.81137,0.75756,0.70542,0.95975,0.0001387,0.0001387,0.0001387
89,209.436,0.53579,0.61624,0.87104,0.99863,1,0.995,0.8148,0.73607,0.6917,0.95337,0.0001288,0.0001288,0.0001288
90,211.772,0.50402,0.61182,0.89283,0.99859,1,0.995,0.82388,0.71361,0.68383,0.94959,0.0001189,0.0001189,0.0001189
91,214.066,0.42195,0.69721,0.83104,0.99857,1,0.995,0.82329,0.70864,0.67743,0.9547,0.000109,0.000109,0.000109
92,216.269,0.46646,0.70703,0.85468,0.99853,1,0.995,0.8228,0.71393,0.67956,0.95478,9.91e-05,9.91e-05,9.91e-05
93,218.475,0.39575,0.6819,0.8348,0.99855,1,0.995,0.8245,0.7203,0.68224,0.95626,8.92e-05,8.92e-05,8.92e-05
94,220.769,0.40037,0.69419,0.83136,0.99852,1,0.995,0.82365,0.72594,0.69185,0.95778,7.93e-05,7.93e-05,7.93e-05
95,222.981,0.41596,0.68499,0.81435,0.99851,1,0.995,0.82166,0.72419,0.69905,0.95545,6.94e-05,6.94e-05,6.94e-05
96,225.185,0.39626,0.68578,0.82451,0.9985,1,0.995,0.8228,0.71878,0.6935,0.95183,5.95e-05,5.95e-05,5.95e-05
97,227.405,0.46347,0.71287,0.84749,0.99847,1,0.995,0.82862,0.70749,0.68832,0.94609,4.96e-05,4.96e-05,4.96e-05
98,229.606,0.40528,0.7045,0.85107,0.99848,1,0.995,0.83295,0.69989,0.6823,0.94215,3.97e-05,3.97e-05,3.97e-05
99,231.874,0.38882,0.70185,0.86868,0.99847,1,0.995,0.83935,0.69223,0.67296,0.93804,2.98e-05,2.98e-05,2.98e-05
100,234.085,0.38887,0.66789,0.86311,0.99848,1,0.995,0.83699,0.6917,0.66879,0.93762,1.99e-05,1.99e-05,1.99e-05
